"","at0.temperature.raw","at1.temperature.raw","at2.temperature.raw","at3.temperature.raw","co.concentration.raw","h2s.concentration.raw","lps25h.pressure.raw","lps25h.temperature.raw","no2.concentration.raw","o3.concentration.raw","oxidizing_gases.concentration.raw","reducing_gases.concentration.raw","si1145.ir_intensity.raw","si1145.uv_intensity.raw","si1145.visible_light_intensity.raw","so2.concentration.raw","at0.temperature.hrf","at1.temperature.hrf","at2.temperature.hrf","at3.temperature.hrf","co.concentration.hrf","h2s.concentration.hrf","lps25h.pressure.hrf","lps25h.temperature.hrf","no2.concentration.hrf","o3.concentration.hrf","oxidizing_gases.concentration.hrf","reducing_gases.concentration.hrf","si1145.ir_intensity.hrf","si1145.uv_intensity.hrf","si1145.visible_light_intensity.hrf","so2.concentration.hrf"
"2018-02-28 00:00",1436,1465.79569892473,1507.33333333333,1558.77419354839,8252.23655913978,2841.5376344086,99536.9892473118,1803.82795698925,2278.8064516129,5361.33333333333,46300.8279569892,5703.1935483871,260.978494623656,1.73118279569892,259.10752688172,1577.81720430108,14.36,14.6579569892473,15.0733333333333,15.5877419354839,0.713852043010753,-0.0247411827956989,995.369892473118,18.0382795698925,0.0184835483870968,0.0557674193548387,0.44342376344086,0.036067311827957,NA,NA,NA,0.175130860215054
"2018-02-28 01:00",1377.30088495575,1408.09734513274,1451.36283185841,1503.94690265487,7961.59292035398,2652.26548672566,99487.3274336283,1745.14159292035,2292.49557522124,5159.71681415929,42959.5486725664,5486.45132743363,259.681415929204,1.56637168141593,258.805309734513,1369.00884955752,13.7730088495575,14.0809734513274,14.5136283185841,15.0394690265487,0.704796371681416,-0.0214395575221239,994.873274336283,17.4514159292035,0.0207038053097345,0.0497390265486726,0.325115486725664,0.0294270796460177,NA,NA,NA,0.146115575221239
"2018-02-28 02:00",1346.30188679245,1376.64150943396,1418.41509433962,1469.75471698113,7392,2533.94339622642,99474.4528301887,1711.62264150943,2264.50943396226,5044.03773584906,40888.320754717,5674.30188679245,259.849056603774,1.64150943396226,258.830188679245,1555.37735849057,13.4630188679245,13.7664150943396,14.1841509433962,14.6975471698113,0.586348867924528,-0.0279345283018868,994.744528301887,17.1162264150943,0.0206790566037736,0.0480639622641509,0.337390943396226,0.042718679245283,NA,NA,NA,0.190717735849057
"2018-02-28 03:00",1199.83333333333,1233.58333333333,1280,1334.91666666667,6333.75,2400.83333333333,99449.3333333333,1566.08333333333,2532.66666666667,4729.25,35849.5,5462.91666666667,258.166666666667,1.08333333333333,257.666666666667,1183.41666666667,11.9983333333333,12.3358333333333,12.8,13.3491666666667,0.4523475,-0.0233708333333333,994.493333333333,15.6608333333333,0.03217,0.02703,0.3218825,0.0358191666666667,NA,NA,NA,0.149606666666667
"2018-02-28 04:00",1177.43362831858,1211.53097345133,1258.36283185841,1313.10619469027,6451.11504424779,1981.3185840708,99409.4867256637,1543.44247787611,2413.05309734513,4552.05309734513,35049.9734513274,4785.29203539823,258.513274336283,1.57522123893805,258.53982300885,1055.71681415929,11.7743362831858,12.1153097345133,12.5836283185841,13.1310619469027,0.508053362831858,-0.0230175221238938,994.094867256637,15.4344247787611,0.029426017699115,0.0283712389380531,0.257034336283186,0.0207352212389381,NA,NA,NA,0.134376902654867
"2018-02-28 05:00",1170.93333333333,1204.86666666667,1250.93333333333,1305.06666666667,6500,2236,99369,1536.73333333333,2856,4654.2,34765.4,5192.26666666667,258.533333333333,1.26666666666667,258.4,1001.86666666667,11.7093333333333,12.0486666666667,12.5093333333333,13.0506666666667,0.529102,-0.0248446666666667,993.69,15.3673333333333,0.038626,0.014842,0.19969,0.025402,NA,NA,NA,0.140509333333333
"2018-02-28 07:00",1141.71428571429,1174.71428571429,1219.57142857143,1273.14285714286,6318.14285714286,1166.85714285714,99202,1504.71428571429,2092.14285714286,4445.28571428571,33133.2857142857,4610.85714285714,258.428571428571,1.57142857142857,259,899.285714285714,11.4171428571429,11.7471428571429,12.1957142857143,12.7314285714286,0.510262857142857,-0.0234114285714286,992.02,15.0471428571429,0.0193871428571429,0.04077,0.204818571428571,0.01275,NA,NA,NA,0.11998
"2018-02-28 08:00",1150.97368421053,1185.11403508772,1231.62280701754,1285.70175438596,6019.08771929825,1820.47368421053,99194.1228070175,1517,2238.74561403509,4302.54385964912,32928.4035087719,4743.67543859649,257.90350877193,1.46491228070175,258.008771929825,966.131578947369,11.5097368421053,11.8511403508772,12.3162280701754,12.8570175438596,0.416093333333333,-0.0202320175438596,991.941228070175,15.17,0.0236670175438597,0.0322597368421053,0.257068070175439,0.0198214035087719,NA,NA,NA,0.114351403508772
"2018-02-28 09:00",1164.58771929825,1199.99122807018,1248.11403508772,1303.51754385965,6251.62280701754,2091.29824561404,99154.6754385965,1532.79824561404,2714.14912280702,4355.51754385965,33606.9561403509,4215.74561403509,257.622807017544,1.48245614035088,258.491228070175,977.412280701755,11.6458771929825,11.9999122807018,12.4811403508772,13.0351754385965,0.464339824561403,-0.0242235964912281,991.546754385965,15.3279824561404,0.0349739473684211,0.0155178070175439,0.203519912280702,0.00991271929824562,NA,NA,NA,0.132414210526316
"2018-02-28 10:00",1177.22222222222,1214.04444444444,1264.57777777778,1321.54444444444,6554.65555555556,2441.95555555556,99149.3,1548.92222222222,2922.17777777778,4176,34350.8222222222,3426.63333333333,257.866666666667,2.03333333333333,260.244444444444,1177.1,11.7722222222222,12.1404444444444,12.6457777777778,13.2154444444444,0.532288777777778,-0.0290694444444444,991.493,15.4892222222222,0.036606,0.00825666666666667,0.138621222222222,0.00502088888888889,NA,NA,NA,0.167615111111111
"2018-02-28 11:00",1137.5,1176,1228,1287.5,6528,3017.75,99129.75,1509.25,3370.75,4158.75,34159.25,4948,258,2.25,263,543.75,11.375,11.76,12.28,12.875,0.5633425,-0.0110375,991.2975,15.0925,0.0342525,0.004095,0.153485,0.01018,NA,NA,NA,0.0453575
"2018-02-28 12:00",1128.91228070175,1167.73684210526,1220.92105263158,1280.15789473684,6827.61403508772,3141.11403508772,99136.2105263158,1501.90350877193,3003.78947368421,4133.78947368421,34233.7280701754,4816.69298245614,355.701754385965,4.3859649122807,266.833333333333,855.017543859649,11.2891228070175,11.6773684210526,12.2092105263158,12.8015789473684,0.654204122807018,-0.0130840350877193,991.362105263158,15.0190350877193,0.0391220175438596,0.00370412280701754,0.0777042105263158,0.0214137719298246,NA,NA,NA,0.08053
"2018-02-28 13:00",1179.60526315789,1215.90350877193,1264.54385964912,1320.31578947368,7422.21929824561,3730.04385964912,98926.298245614,1553.0350877193,3302.35087719298,4163.83333333333,37502.3684210526,5103.34210526316,4337.95614035088,84.0526315789473,457.385964912281,1195.43859649123,11.7960526315789,12.1590350877193,12.6454385964912,13.2031578947368,0.77025850877193,-0.0201644736842105,989.26298245614,15.530350877193,0.0378478070175439,0.00171745614035088,0.0792363157894737,0.0374409649122807,NA,NA,NA,0.137696754385965
"2018-02-28 14:00",1363.48484848485,1400.42424242424,1448.24242424242,1502.27272727273,8767.27272727273,3708.90909090909,98565.5757575758,1744.33333333333,3214.24242424242,4311.48484848485,42509.9696969697,5526.87878787879,10869.7272727273,214.515151515152,767.969696969697,1510.18181818182,13.6348484848485,14.0042424242424,14.4824242424242,15.0227272727273,0.935432727272727,-0.0276790909090909,985.655757575758,17.4433333333333,0.0376560606060606,0.0065630303030303,0.00150424242424244,0.0431245454545455,NA,NA,NA,0.17940303030303
