"","at0.temperature.raw","at1.temperature.raw","at2.temperature.raw","at3.temperature.raw","co.concentration.raw","h2s.concentration.raw","lps25h.pressure.raw","lps25h.temperature.raw","no2.concentration.raw","o3.concentration.raw","oxidizing_gases.concentration.raw","reducing_gases.concentration.raw","si1145.ir_intensity.raw","si1145.uv_intensity.raw","si1145.visible_light_intensity.raw","so2.concentration.raw","at0.temperature.hrf","at1.temperature.hrf","at2.temperature.hrf","at3.temperature.hrf","co.concentration.hrf","h2s.concentration.hrf","lps25h.pressure.hrf","lps25h.temperature.hrf","no2.concentration.hrf","o3.concentration.hrf","oxidizing_gases.concentration.hrf","reducing_gases.concentration.hrf","si1145.ir_intensity.hrf","si1145.uv_intensity.hrf","si1145.visible_light_intensity.hrf","so2.concentration.hrf"
"2018-03-23 16:00",572.827586206897,605.310344827586,681.448275862069,718.275862068965,2950,-58,101003.103448276,1023.13793103448,573.068965517241,3640.86206896552,10728.1034482759,3348.13793103448,12738.275862069,296.448275862069,963.310344827586,241.620689655173,5.72827586206897,6.05310344827586,6.81448275862069,7.18275862068965,0.114140344827586,0.000632413793103452,1010.03103448276,10.2313793103448,0.00633448275862069,0.0664920689655172,-0.0218031034482759,0.00969068965517241,NA,NA,NA,0.0100979310344827
"2018-03-23 17:00",495.205673758865,523.673758865248,594.645390070922,627.794326241135,2978.15602836879,-363.333333333333,100997.517730496,939.070921985816,791.77304964539,4055.01418439716,10248.6524822695,3432.4609929078,12410.0070921986,293.624113475177,956.567375886525,206.609929078014,4.95205673758865,5.23673758865248,5.94645390070922,6.27794326241135,0.170843191489362,-0.0131748226950355,1009.97517730496,9.39070921985816,0.0105390070921986,0.0633035460992908,-0.090961560283688,0.0191882269503546,NA,NA,NA,0.0554802836879433
"2018-03-23 18:00",568.049295774648,599.429577464789,673.584507042254,708.492957746479,3018.54225352113,-313.028169014085,100921.978873239,1015.21126760563,699.352112676056,3735,10512.7183098592,3431.42957746479,16543.3098591549,376.422535211268,1153.80281690141,47.380281690141,5.68049295774648,5.99429577464789,6.73584507042253,7.08492957746479,0.137468943661972,0.003055,1009.21978873239,10.1521126760563,0.00629070422535212,0.064365,-0.053542676056338,-0.00380345070422535,NA,NA,NA,-0.0129454929577465
"2018-03-23 19:00",555.035460992908,587.659574468085,662.539007092199,697.382978723404,2882.49645390071,77.8581560283687,100861.617021277,1001.17730496454,685.255319148936,3916.78723404255,10187.3475177305,3600.21276595745,18868.6808510638,426.170212765958,1272.33333333333,276.985815602837,5.55035460992908,5.87659574468085,6.62539007092199,6.97382978723404,0.106263829787234,-0.00399063829787234,1008.61617021277,10.0117730496454,0.00752312056737589,0.0672518439716312,-0.0521254609929078,0.0202148226950355,NA,NA,NA,0.0313741843971631
"2018-03-23 20:00",551.460992907801,584.730496453901,659.737588652482,694.163120567376,2990.36170212766,-102.631205673759,100806.432624113,996.283687943262,782.560283687943,3916.72340425532,10472.5106382979,3036.07092198582,20900.3191489362,467.255319148936,1370.09929078014,285.58865248227,5.51460992907801,5.84730496453901,6.59737588652482,6.94163120567376,0.138114255319149,-0.0122787234042553,1008.06432624113,9.96283687943262,0.00878184397163121,0.0628435460992908,-0.0765401418439716,0.0146458156028369,NA,NA,NA,0.0569675886524823
"2018-03-23 21:00",394.22695035461,423.078014184397,495.914893617021,531.36170212766,2602.72340425532,-207.177304964539,100885.368794326,836.340425531915,703.517730496454,3932.7304964539,8946.59574468085,3293.30496453901,9654.21985815603,215.184397163121,769.687943262411,1.73758865248217,3.9422695035461,4.23078014184397,4.95914893617021,5.3136170212766,0.119527092198582,0.00590992907801418,1008.85368794326,8.36340425531915,0.00955326241134752,0.0641242553191489,-0.0536687943262411,-0.00514801418439717,NA,NA,NA,-0.017767304964539
"2018-03-23 22:00",344.375886524823,374.41134751773,449.77304964539,487.475177304965,2587.91489361702,-745.985815602837,100910.14893617,788.68085106383,612.744680851064,3888.29787234043,8771,3610.29078014184,5737.96453900709,123.22695035461,550.666666666667,83.4326241134753,3.44375886524823,3.7441134751773,4.4977304964539,4.87475177304965,0.13935829787234,-0.00674078014184397,1009.1014893617,7.8868085106383,0.00672560283687943,0.0687312056737589,-0.0611606382978723,0.0155249645390071,NA,NA,NA,0.0265812765957447
"2018-03-23 23:00",262.75,289.978571428571,362.85,399.342857142857,2471.41428571429,-555.828571428571,100891.985714286,701.985714285714,576.164285714286,3796.44285714286,8591.54285714286,3165.2,1611.43571428572,31.9785714285714,333.421428571428,-56.7214285714284,2.6275,2.89978571428571,3.6285,3.99342857142857,0.147844071428571,0.00685728571428572,1008.91985714286,7.01985714285714,0.005386,0.0689535714285714,-0.0377751428571429,-0.008047,NA,NA,NA,-0.0249957142857143
"2018-03-24 00:00",213.127659574468,241.723404255319,317.120567375887,355.432624113475,2408.66666666667,-703.539007092198,100874.794326241,651.716312056738,839.354609929078,3756.3829787234,8077.95744680851,3105.95035460993,276.014184397163,3.5177304964539,263.943262411348,-112.872340425532,2.13127659574468,2.41723404255319,3.17120567375887,3.55432624113475,0.151608226950355,-0.00426687943262411,1008.74794326241,6.51716312056738,0.012000780141844,0.0528252482269504,-0.0796902127659574,-0.00369872340425532,NA,NA,NA,0.00517914893617022
"2018-03-24 01:00",195.950354609929,224.297872340426,299.312056737589,337.560283687943,2527.78014184397,-561.432624113475,100834.184397163,632.368794326241,804.879432624114,3843.97872340426,8425.64539007092,3017.2695035461,253.645390070922,3.43262411347518,263.503546099291,245.971631205674,1.95950354609929,2.24297872340426,2.99312056737589,3.37560283687943,0.192721134751773,-0.023822695035461,1008.34184397163,6.32368794326241,0.0115203546099291,0.056128085106383,-0.116945319148936,0.0317424113475177,NA,NA,NA,0.0963017730496454
