"","at0.temperature.raw","at1.temperature.raw","at2.temperature.raw","at3.temperature.raw","co.concentration.raw","h2s.concentration.raw","lps25h.pressure.raw","lps25h.temperature.raw","no2.concentration.raw","o3.concentration.raw","oxidizing_gases.concentration.raw","reducing_gases.concentration.raw","si1145.ir_intensity.raw","si1145.uv_intensity.raw","si1145.visible_light_intensity.raw","so2.concentration.raw","at0.temperature.hrf","at1.temperature.hrf","at2.temperature.hrf","at3.temperature.hrf","co.concentration.hrf","h2s.concentration.hrf","lps25h.pressure.hrf","lps25h.temperature.hrf","no2.concentration.hrf","o3.concentration.hrf","oxidizing_gases.concentration.hrf","reducing_gases.concentration.hrf","si1145.ir_intensity.hrf","si1145.uv_intensity.hrf","si1145.visible_light_intensity.hrf","so2.concentration.hrf"
"2018-03-18 17:00",1260.72340425532,1302.34042553191,1363.82978723404,1427.40425531915,43945.6382978723,5276.1914893617,99553.6382978723,1602.12765957447,16946.7446808511,16172.1489361702,320871,42187.4255319149,6635.53191489362,172.063829787234,666.851063829787,-298.936170212766,12.6072340425532,13.0234042553191,13.6382978723404,14.2740425531915,14.556709787234,-0.256854468085106,995.536382978723,16.0212765957447,0.320765957446809,0,7.27724,0.296754468085106,NA,NA,NA,1.26915617021277
"2018-03-18 18:00",1358.97857142857,1401.29285714286,1463.69285714286,1527.68571428571,23024.9214285714,3699.91428571429,99486.9285714286,1703.74285714286,7065.74285714285,8468.94285714286,131234.321428571,24863.1357142857,7324.87142857143,185.5,699.014285714286,55.7285714285714,13.5897857142857,14.0129285714286,14.6369285714286,15.2768571428571,6.73660985714286,-0.0434532857142857,994.869285714286,17.0374285714286,0.167011142857143,0.00892157142857143,1.6087695,0.203707285714286,NA,NA,NA,0.2670985
"2018-03-18 19:00",1453.87234042553,1498.43971631206,1564.57446808511,1631.32624113475,16864.5602836879,2920.08510638298,99342.4184397163,1804.70921985816,4116.85106382979,6155.82978723404,86400.304964539,19781.3404255319,8073.1914893617,197.241134751773,727.007092198582,484.985815602837,14.5387234042553,14.9843971631206,15.6457446808511,16.3132624113475,4.33615241134752,0.00335787234042553,993.424184397163,18.0470921985816,0.0715704255319149,0.060602695035461,0.759205177304965,0.183739007092199,NA,NA,NA,0.0541556028368794
"2018-03-18 20:00",1526.52857142857,1570.47857142857,1634.65714285714,1699.77142857143,14394.2357142857,2157.60714285714,99273.0428571429,1881.22142857143,3081.50714285714,5333.25714285714,71579.3428571429,17931.4214285714,8342.47142857143,195.642857142857,723.242857142857,475.235714285714,15.2652857142857,15.7047857142857,16.3465714285714,16.9977142857143,3.32306228571429,0.0192813571428571,992.730428571429,18.8122142857143,0.0259541428571429,0.0904782142857143,0.6765315,0.168812285714286,NA,NA,NA,-0.0343928571428571
"2018-03-18 21:00",1548.29787234043,1592.97163120567,1659.10638297872,1725.65957446809,12960.6737588653,2453.98581560284,99228.5531914894,1902.60283687943,2605.55319148936,4718.45390070922,62633.0709219858,17079.7446808511,7682.80141843972,172.496453900709,667.964539007092,599.113475177305,15.4829787234043,15.9297163120567,16.5910638297872,17.2565957446809,2.75963765957447,0.0301255319148936,992.285531914894,19.0260283687943,0.0113537588652482,0.0922963120567376,0.576354042553191,0.170931276595745,NA,NA,NA,-0.0805709929078014
"2018-03-18 22:00",1493.29787234043,1538.13475177305,1604.01418439716,1670.10638297872,11269.829787234,2177.90070921986,99204.5815602837,1846.86524822695,2064.47517730496,4346.40425531915,52755.8794326241,15664.3191489362,6072.78723404256,126.113475177305,557.624113475177,574.028368794326,14.9329787234043,15.3813475177305,16.0401418439716,16.7010638297872,2.22209602836879,0.039439219858156,992.045815602837,18.4686524822695,0.00158645390070922,0.0955051773049645,0.46758780141844,0.159769219858156,NA,NA,NA,-0.123672056737589
"2018-03-18 23:00",1209.25,1250.15714285714,1312.02857142857,1376.95714285714,9401.14285714286,2574.13571428571,99270.0928571429,1545.12857142857,2000.1,3930.02857142857,42453.6285714286,13249.3071428571,1981.97142857143,33.0642857142857,336,472.042857142857,12.0925,12.5015714285714,13.1202857142857,13.7695714285714,1.91229964285714,0.0441834285714286,992.700928571429,15.4512857142857,0.00275157142857143,0.0855228571428571,0.251312785714286,0.137595285714286,NA,NA,NA,-0.136777714285714
"2018-03-19 00:00",1023.63829787234,1063.83687943262,1122.34042553191,1184.73758865248,7912.45390070922,2339.29787234042,99286.9716312057,1349.98581560284,1877.86524822695,3472.1914893617,36097.085106383,11135.9787234043,285.851063829787,1.46808510638298,258.446808510638,266.347517730496,10.2363829787234,10.6383687943262,11.2234042553191,11.8473758865248,1.57822929078014,0.0471887943262411,992.869716312057,13.4998581560284,0.00262723404255319,0.075692695035461,0.263225319148936,0.110748510638298,NA,NA,NA,-0.162431418439716
"2018-03-19 01:00",862.057142857143,904.335714285714,964.95,1028.02142857143,6682.48571428571,1540.17857142857,99326.0571428571,1188.36428571429,1637.44285714286,3107.97142857143,29413.7,9767.71428571429,264.635714285714,1.75,258.421428571429,111.657142857143,8.62057142857143,9.04335714285714,9.6495,10.2802142857143,1.279388,0.0439664285714286,993.260571428571,11.8836428571429,0.00119864285714286,0.0696603571428571,0.183493928571429,0.0932133571428571,NA,NA,NA,-0.163511357142857
"2018-03-19 02:00",898.489361702128,950.595744680851,1025.0780141844,1096.78014184397,8686.31205673759,3616.59574468085,99306.390070922,1245.53191489362,2050.90070921986,3032.70212765957,36708.3475177305,9474.31205673759,264.432624113475,1.57446808510638,258.163120567376,236.63829787234,8.98489361702128,9.50595744680851,10.250780141844,10.9678014184397,1.96737716312057,0.0606152482269504,993.06390070922,12.4553191489362,0.0078845390070922,0.0596031914893617,-0.0252168085106383,0.0905434042553191,NA,NA,NA,-0.219203333333333
"2018-03-19 03:00",846.63829787234,900.489361702128,979.45390070922,1054.55319148936,9266.68085106383,4668.21985815603,99263.390070922,1194.45390070922,2267.43971631206,3156.69503546099,39737.1843971631,9111.23404255319,264.312056737589,1.67375886524823,258.496453900709,406.404255319149,8.4663829787234,9.00489361702128,9.7945390070922,10.5455319148936,2.22409191489362,0.0634085106382979,992.63390070922,11.9445390070922,0.0123623404255319,0.0572962411347518,-0.0584409219858156,0.0901513475177305,NA,NA,NA,-0.209199929078014
