"","at0.temperature.raw","at1.temperature.raw","at2.temperature.raw","at3.temperature.raw","co.concentration.raw","h2s.concentration.raw","lps25h.pressure.raw","lps25h.temperature.raw","no2.concentration.raw","o3.concentration.raw","oxidizing_gases.concentration.raw","reducing_gases.concentration.raw","sht25.humidity.raw","sht25.temperature.raw","si1145.ir_intensity.raw","si1145.uv_intensity.raw","si1145.visible_light_intensity.raw","so2.concentration.raw","at0.temperature.hrf","at1.temperature.hrf","at2.temperature.hrf","at3.temperature.hrf","co.concentration.hrf","h2s.concentration.hrf","lps25h.pressure.hrf","lps25h.temperature.hrf","no2.concentration.hrf","o3.concentration.hrf","oxidizing_gases.concentration.hrf","reducing_gases.concentration.hrf","sht25.humidity.hrf","sht25.temperature.hrf","si1145.ir_intensity.hrf","si1145.uv_intensity.hrf","si1145.visible_light_intensity.hrf","so2.concentration.hrf"
"2018-02-26 18:00",1146.26277372263,1178.1897810219,1211.08759124088,1259.76642335766,29616.2262773723,12721.204379562,100686.883211679,1480.46715328467,5639.03649635036,19307.8467153285,340434.481751825,27618.0656934307,3392.51824817518,1199.19708029197,382.313868613139,1685.29927007299,23405.1313868613,4351.8102189781,11.4626277372263,11.781897810219,12.1108759124088,12.5976642335766,NA,NA,1006.86883211679,14.8046715328467,NA,NA,NA,NA,33.9251824817518,11.9919708029197,NA,NA,NA,NA
"2018-02-26 19:00",1210.29333333333,1242.32666666667,1275.36666666667,1323.92666666667,17111.3533333333,8817.06666666667,100637.633333333,1546.57333333333,2446.48666666667,9365.66666666667,166326.433333333,18662.3,3057.28,1263.82666666667,345.92,1581.36,20447.6,2702.81333333333,12.1029333333333,12.4232666666667,12.7536666666667,13.2392666666667,NA,NA,1006.37633333333,15.4657333333333,NA,NA,NA,NA,30.5728,12.6382666666667,NA,NA,NA,NA
"2018-02-26 20:00",1259.22,1292.45333333333,1326.96666666667,1376.15333333333,14258.18,8077.67333333333,100627.073333333,1599.2,1837.34666666667,7555.04666666667,131529.2,16589.22,3075.67333333333,1314.90666666667,302.986666666667,1403.48,16670.6533333333,2417.82666666667,12.5922,12.9245333333333,13.2696666666667,13.7615333333333,NA,NA,1006.27073333333,15.992,NA,NA,NA,NA,30.7567333333333,13.1490666666667,NA,NA,NA,NA
"2018-02-26 21:00",1246.52,1278.26,1310.86,1358.86,11995.6533333333,6968.22,100637.48,1583.84666666667,1497.15333333333,6577.92666666667,109433.82,15668.1466666667,3189.07333333333,1299.54666666667,163.34,1148.52666666667,11303.04,1957.18,12.4652,12.7826,13.1086,13.5886,NA,NA,1006.3748,15.8384666666667,NA,NA,NA,NA,31.8907333333333,12.9954666666667,NA,NA,NA,NA
"2018-02-26 22:00",1253.92,1288.02666666667,1324.79333333333,1375.28666666667,11154.94,6632.18,100658.62,1596.06666666667,1332.61333333333,6007.16,98380.3333333333,15124.6,3247.79333333333,1310.33333333333,72.06,898.44,6386.34,1890.56,12.5392,12.8802666666667,13.2479333333333,13.7528666666667,NA,NA,1006.5862,15.9606666666667,NA,NA,NA,NA,32.4779333333333,13.1033333333333,NA,NA,NA,NA
"2018-02-26 23:00",1178.48322147651,1214.01342281879,1253.4966442953,1306.10067114094,9548.73825503356,5844.04026845638,100681.724832215,1519.71812080537,1200.56375838926,5515.56375838926,84129.2684563758,14052.8255033557,3431.57046979866,1235.10738255034,10.8791946308725,643.060402684564,1284.8322147651,1747.10067114094,11.7848322147651,12.1401342281879,12.534966442953,13.0610067114094,NA,NA,1006.81724832215,15.1971812080537,NA,NA,NA,NA,34.3157046979866,12.3510738255034,NA,NA,NA,NA
"2018-02-27 00:00",1111,1152.56666666667,1201.27333333333,1260.4,9319.1,6122.02666666667,100712.393333333,1457.79333333333,1423.24,5226.04666666667,76711.5133333333,12835.9,3752.44,1173.64666666667,1.54,602.813333333333,605.14,1592.82666666667,11.11,11.5256666666667,12.0127333333333,12.604,NA,NA,1007.12393333333,14.5779333333333,NA,NA,NA,NA,37.5244,11.7364666666667,NA,NA,NA,NA
"2018-02-27 01:00",1013.72666666667,1056.92,1108.17333333333,1169.22666666667,8468.02,5720.88666666667,100735.206666667,1359.66,1331.64666666667,4696.94,68120.58,11431.92,4364.85333333333,1076.5,1.57333333333333,603.1,602.613333333333,1111.76666666667,10.1372666666667,10.5692,11.0817333333333,11.6922666666667,NA,NA,1007.35206666667,13.5966,NA,NA,NA,NA,43.6485333333333,10.765,NA,NA,NA,NA
"2018-02-27 02:00",903.753333333333,945.866666666667,995.326666666667,1055.42,7335.08666666667,4826.18666666667,100745.886666667,1245.41333333333,1089.94666666667,4249.66,58942.0066666667,10524.84,5205.30666666667,964.853333333333,1.94666666666667,603.3,603.086666666667,1088.68666666667,9.03753333333333,9.45866666666667,9.95326666666667,10.5542,NA,NA,1007.45886666667,12.4541333333333,NA,NA,NA,NA,52.0530666666667,9.64853333333333,NA,NA,NA,NA
"2018-02-27 03:00",835.193333333333,876.386666666667,924.453333333333,983.706666666667,6386.45333333333,4251.07333333333,100762.52,1173.40666666667,1135.08,3949.41333333333,53138.5,9670.59333333333,5670.52,893.673333333333,1.39333333333333,601.62,601.72,1110.63333333333,8.35193333333333,8.76386666666667,9.24453333333333,9.83706666666667,NA,NA,1007.6252,11.7340666666667,NA,NA,NA,NA,56.7052,8.93673333333333,NA,NA,NA,NA
"2018-02-27 04:00",798.526666666667,838.08,883.626666666667,941.44,5893.39333333333,3610.88,100787.44,1132.73333333333,905.933333333333,3883.96666666667,49472.7666666667,9546.80666666667,5687.93333333333,857.32,1.50666666666667,603.553333333333,601.233333333333,844.086666666667,7.98526666666667,8.3808,8.83626666666667,9.4144,NA,NA,1007.8744,11.3273333333333,NA,NA,NA,NA,56.8793333333333,8.5732,NA,NA,NA,NA
"2018-02-27 05:00",785.833333333333,823.813333333333,867.12,923.46,5803.22666666667,2949.26,100781.913333333,1117.34,868.513333333333,3908.56,46954.5133333333,9259.55333333333,5377.9,841.693333333333,1.48666666666667,601.24,601.466666666667,901.853333333333,7.85833333333333,8.23813333333333,8.6712,9.2346,NA,NA,1007.81913333333,11.1734,NA,NA,NA,NA,53.779,8.41693333333333,NA,NA,NA,NA
"2018-02-27 06:00",757.086666666667,793.726666666667,835.24,890.446666666667,5253.3,3229.17333333333,100813.44,1085.04,766.626666666667,3795.69333333333,44468.58,9363.12,5134.10666666667,811.4,1.63333333333333,603.533333333333,600.6,685.906666666667,7.57086666666667,7.93726666666667,8.3524,8.90446666666667,NA,NA,1008.1344,10.8504,NA,NA,NA,NA,51.3410666666667,8.114,NA,NA,NA,NA
"2018-02-27 07:00",728.033333333333,767.32,812.406666666667,870.24,5139.38,3233.34,100808.56,1058.72,763.713333333333,3605.73333333333,42691.2666666667,8521.4,5049.70666666667,784.813333333333,1.48,602.106666666667,599.8,722.64,7.28033333333333,7.6732,8.12406666666667,8.7024,NA,NA,1008.0856,10.5872,NA,NA,NA,NA,50.4970666666667,7.84813333333333,NA,NA,NA,NA
"2018-02-27 08:00",679.273333333333,717.086666666667,760.066666666667,816.426666666667,4758.84666666667,2980.16,100782.62,1004.56,699.826666666667,3685.91333333333,39832.64,7956.70666666667,5140.87333333333,733.733333333333,1.46,602.626666666667,600.066666666667,602.893333333333,6.79273333333333,7.17086666666667,7.60066666666667,8.16426666666667,NA,NA,1007.8262,10.0456,NA,NA,NA,NA,51.4087333333333,7.33733333333333,NA,NA,NA,NA
"2018-02-27 09:00",655.7,694.18,738.233333333333,795.213333333333,4561.68,2874.02666666667,100757.166666667,982.46,647.706666666666,3599.66666666667,38423.7466666667,7768.49333333333,5217.04666666667,712.28,1.60666666666667,603.566666666667,600.12,682.186666666667,6.557,6.9418,7.38233333333333,7.95213333333333,NA,NA,1007.57166666667,9.8246,NA,NA,NA,NA,52.1704666666667,7.1228,NA,NA,NA,NA
"2018-02-27 10:00",693.42,736.893333333333,788.24,850.013333333333,4964.59333333333,2851.17333333333,100712.413333333,1030.29333333333,834.86,3536.45333333333,39748.9266666667,7846.56666666667,4983.16,755.566666666667,1.48666666666667,603.58,600.853333333333,531.66,6.9342,7.36893333333333,7.8824,8.50013333333333,NA,NA,1007.12413333333,10.3029333333333,NA,NA,NA,NA,49.8316,7.55566666666667,NA,NA,NA,NA
"2018-02-27 11:00",698.326666666667,740.366666666667,789.566666666667,850.32,5086.61333333333,3102.20666666667,100685.64,1032.66,741.62,3659.14,39926.1133333333,7900.2,4700.22666666667,758.333333333333,1.57333333333333,604.16,601.106666666667,616.386666666667,6.98326666666667,7.40366666666667,7.89566666666667,8.5032,NA,NA,1006.8564,10.3266,NA,NA,NA,NA,47.0022666666667,7.58333333333333,NA,NA,NA,NA
