"","at0.temperature.raw","at1.temperature.raw","at2.temperature.raw","at3.temperature.raw","co.concentration.raw","h2s.concentration.raw","lps25h.pressure.raw","lps25h.temperature.raw","no2.concentration.raw","o3.concentration.raw","oxidizing_gases.concentration.raw","reducing_gases.concentration.raw","si1145.ir_intensity.raw","si1145.uv_intensity.raw","si1145.visible_light_intensity.raw","so2.concentration.raw","at0.temperature.hrf","at1.temperature.hrf","at2.temperature.hrf","at3.temperature.hrf","co.concentration.hrf","h2s.concentration.hrf","lps25h.pressure.hrf","lps25h.temperature.hrf","no2.concentration.hrf","o3.concentration.hrf","oxidizing_gases.concentration.hrf","reducing_gases.concentration.hrf","si1145.ir_intensity.hrf","si1145.uv_intensity.hrf","si1145.visible_light_intensity.hrf","so2.concentration.hrf"
"2018-07-19 00:00",2504.88983050847,2537.73728813559,2601.44915254237,2659.72881355932,9374.3813559322,9723.20338983051,99898.3983050847,2914.07627118644,747.940677966102,3877.12711864407,73180.7033898305,7429.6779661017,1706.81355932203,33.135593220339,336.101694915254,394.974576271186,25.0488983050847,25.3773728813559,26.0144915254237,26.5972881355932,-1.36161389830508,0.0273763559322034,998.983983050847,29.1407627118644,0.00459779661016949,0.0484601694915254,0.907492033898305,-0.0169157627118644,NA,NA,NA,-0.174072372881356
"2018-07-19 01:00",2458.11267605634,2495.64788732394,2566.38732394366,2629.56338028169,8992.95774647887,8449.34507042254,99892.014084507,2877.48591549296,1142.40845070423,3796.74647887324,67616.8169014085,6934.11267605634,336.760563380282,3.35211267605633,263.605633802817,373.330985915493,24.5811267605634,24.9564788732394,25.6638732394366,26.2956338028169,-1.35061281690141,0.00309852112676056,998.92014084507,28.7748591549296,0.0109405633802817,0.0359954929577465,0.682092112676056,-0.0293867605633803,NA,NA,NA,-0.073498661971831
"2018-07-19 02:00",2440.92957746479,2483.16901408451,2560.81690140845,2628.5,9287.52816901408,8312.35211267606,99869.6901408451,2869.41549295775,1243.29577464789,3949.45070422535,65263.2183098592,6401.52816901408,257.823943661972,1.33802816901408,257.830985915493,278.80985915493,24.4092957746479,24.8316901408451,25.6081690140845,26.285,-1.2094311971831,0.00350957746478873,998.696901408451,28.6941549295775,0.0138109154929577,0.0349807042253521,0.433758309859155,-0.0413080985915493,NA,NA,NA,-0.0801741549295775
"2018-07-19 03:00",2395.62676056338,2439.70422535211,2519.80281690141,2589.12676056338,8939.61267605634,7621.92253521127,99670.9436619718,2821.85211267606,1441.47887323944,3865.88732394366,61463.2535211268,6138.05633802817,257.352112676056,1.51408450704225,258.5,-172.450704225352,23.9562676056338,24.3970422535211,25.1980281690141,25.8912676056338,-1.17974683098592,0.00957985915492958,996.709436619718,28.2185211267606,0.0188783098591549,0.0260703521126761,0.359403521126761,-0.0536316197183099,NA,NA,NA,-0.139624507042254
"2018-07-19 04:00",2342.78873239437,2385.80985915493,2464.28873239437,2532.48591549296,8163.41549295775,7062.89436619718,98745.0211267606,2765.15492957746,1167.78169014085,3475.11971830986,56073.823943662,5750.75352112676,257.338028169014,1.66901408450704,259.267605633803,138.359154929577,23.4278873239437,23.8580985915493,24.6428873239437,25.3248591549296,-1.26599788732394,-0.00197767605633803,987.450211267606,27.6515492957746,0.0119666197183099,0.0287110563380282,0.318783169014084,-0.0441430985915493,NA,NA,NA,-0.0678968309859155
"2018-07-19 05:00",2302.53191489362,2345.95035460993,2424.97872340426,2494.13475177305,7882.56737588653,5947.66666666667,98511.4964539007,2727.60992907801,1021.72340425532,3567.50354609929,52835.2340425532,6277.8865248227,257.347517730496,1.14893617021277,256.914893617021,-412.503546099291,23.0253191489362,23.4595035460993,24.2497872340426,24.9413475177305,-1.23275815602837,0.00827340425531915,985.114964539007,27.2760992907801,0.00872936170212766,0.0356541843971631,0.289802765957447,-0.0484150354609929,NA,NA,NA,-0.153570709219858
"2018-07-19 06:00",2304.69014084507,2349.52816901408,2430.15492957746,2500.11971830986,8219.42253521127,6096.16197183099,97771.1478873239,2734.01408450704,1114.91549295775,3766.11971830986,52399.3450704225,6369.46478873239,257.056338028169,1.59859154929577,258.93661971831,-268.697183098592,23.0469014084507,23.4952816901408,24.3015492957746,25.0011971830986,-1.1256723943662,0.00292218309859155,977.71147887324,27.3401408450704,0.0109380985915493,0.0362494366197183,0.120186690140845,-0.0460576056338028,NA,NA,NA,-0.11688514084507
"2018-07-19 07:00",2259.45070422535,2305.09154929577,2386.57746478873,2457.11971830986,7968.16901408451,5545.71830985915,95178.2323943662,2696.14788732394,1056.07042253521,3288.68309859155,50000.823943662,6027.78873239437,256.985915492958,1.40140845070423,258.218309859155,-143.704225352113,22.5945070422535,23.0509154929577,23.8657746478873,24.5711971830986,-1.06930204225352,-0.00676253521126761,951.782323943662,26.9614788732394,0.00879154929577465,0.0298188028169014,0.066300352112676,-0.0423127464788732,NA,NA,NA,-0.0706055633802817
"2018-07-19 08:00",2312.95774647887,2360.99295774648,2444.1338028169,2514.24647887324,8708.07042253521,5683.95774647887,98161.5281690141,2747.04929577465,1311.11267605634,3303.94366197183,52676.338028169,6507.30985915493,256.978873239437,1.74647887323944,259.267605633803,-360.070422535211,23.1295774647887,23.6099295774648,24.441338028169,25.1424647887324,-0.989902605633803,-0.0054625352112676,981.615281690141,27.4704929577465,0.0141466197183099,0.0215318309859155,-0.052221338028169,-0.0474791549295775,NA,NA,NA,-0.0986085915492958
"2018-07-19 09:00",2313.04964539007,2362.43262411347,2446.97872340426,2517.88652482269,8784.31205673759,6142.41134751773,98513.0992907801,2747.07092198582,1418.77304964539,3439.32624113475,53152.219858156,6435.95035460993,257.219858156028,1.73758865248227,259.617021276596,42.5177304964539,23.1304964539007,23.6243262411348,24.4697872340426,25.178865248227,-0.967685319148936,-0.0163131914893617,985.130992907801,27.4707092198582,0.0169183687943262,0.0201525531914894,-0.0945919858156028,-0.0396970212765957,NA,NA,NA,-0.0172512056737589
