"","at0.temperature.raw","at1.temperature.raw","at2.temperature.raw","at3.temperature.raw","co.concentration.raw","h2s.concentration.raw","lps25h.pressure.raw","lps25h.temperature.raw","no2.concentration.raw","o3.concentration.raw","oxidizing_gases.concentration.raw","reducing_gases.concentration.raw","sht25.humidity.raw","sht25.temperature.raw","si1145.ir_intensity.raw","si1145.uv_intensity.raw","si1145.visible_light_intensity.raw","so2.concentration.raw","at0.temperature.hrf","at1.temperature.hrf","at2.temperature.hrf","at3.temperature.hrf","co.concentration.hrf","h2s.concentration.hrf","lps25h.pressure.hrf","lps25h.temperature.hrf","no2.concentration.hrf","o3.concentration.hrf","oxidizing_gases.concentration.hrf","reducing_gases.concentration.hrf","sht25.humidity.hrf","sht25.temperature.hrf","si1145.ir_intensity.hrf","si1145.uv_intensity.hrf","si1145.visible_light_intensity.hrf","so2.concentration.hrf"
"2018-05-04 19:00",2383.70588235294,2402,2466.88235294118,2522.47058823529,10256.7647058824,5590.35294117647,99560.4705882353,2945,1842.41176470588,7877.58823529412,37439.4117647059,1471264,4014.94117647059,2450.94117647059,392.117647058824,1616.23529411765,22529.8235294118,1451,23.8370588235294,24.02,24.6688235294118,25.2247058823529,NA,NA,995.604705882353,29.45,NA,NA,NA,NA,40.1494117647059,24.5094117647059,NA,NA,NA,NA
"2018-05-04 20:00",2439.26666666667,2459.72,2526.50666666667,2582.35333333333,10472.2666666667,4905.28,99557.0266666667,2998.62,2078.8,7457.57333333333,37070.1466666667,1471264,3782.67333333333,2503.37333333333,437.393333333333,1821.47333333333,27337.0466666667,1848.36,24.3926666666667,24.5972,25.2650666666667,25.8235333333333,NA,NA,995.570266666667,29.9862,NA,NA,NA,NA,37.8267333333333,25.0337333333333,NA,NA,NA,NA
"2018-05-04 21:00",2515,2537.68,2607.68666666667,2665.16,10811.16,5514.47333333333,99542.9466666667,3078.65333333333,2810.97333333333,7484.72,38478.5533333333,1471264,3626.93333333333,2582.48666666667,510.82,1870.14,29801.6,2000.89333333333,25.15,25.3768,26.0768666666667,26.6516,NA,NA,995.429466666667,30.7865333333333,NA,NA,NA,NA,36.2693333333333,25.8248666666667,NA,NA,NA,NA
"2018-05-04 22:00",2570.49333333333,2593.87333333333,2664.48,2721.94666666667,11039.6533333333,5504.61333333333,99574.0333333333,3134.41333333333,3105.52,7531.85333333333,40053.2533333333,1471264,3363.89333333333,2638.68666666667,536.58,1910.93333333333,32528.8933333333,2104.66,25.7049333333333,25.9387333333333,26.6448,27.2194666666667,NA,NA,995.740333333333,31.3441333333333,NA,NA,NA,NA,33.6389333333333,26.3868666666667,NA,NA,NA,NA
"2018-05-04 23:00",2547.64,2571.97333333333,2644.14,2703.24,10845.8266666667,5568.72666666667,99610.76,3112.11333333333,2998.61333333333,7492.60666666667,40637.2933333333,1471264,3443.56,2614.78,387.313333333333,1650.26,28260.9533333333,1962.50666666667,25.4764,25.7197333333333,26.4414,27.0324,NA,NA,996.1076,31.1211333333333,NA,NA,NA,NA,34.4356,26.1478,NA,NA,NA,NA
"2018-05-05 00:00",2431.98666666667,2455.17333333333,2526.45333333333,2585.11333333333,10244.46,5064.92666666667,99714.98,2994.68,2861.97333333333,7256.39333333333,38819.7666666667,1471264,3758.52,2495.72,59.2066666666667,810.146666666666,7345.64666666667,1722.43333333333,24.3198666666667,24.5517333333333,25.2645333333333,25.8511333333333,NA,NA,997.1498,29.9468,NA,NA,NA,NA,37.5852,24.9572,NA,NA,NA,NA
"2018-05-05 01:00",2368.29333333333,2394.11333333333,2468.41333333333,2528.60666666667,10372.5733333333,4784.88666666667,99772.0533333333,2935.66,2758.49333333333,6687.78666666667,40480.16,1471264,3858.12,2436.1,1.38666666666667,602.98,610.486666666667,1588.53333333333,23.6829333333333,23.9411333333333,24.6841333333333,25.2860666666667,NA,NA,997.720533333333,29.3566,NA,NA,NA,NA,38.5812,24.361,NA,NA,NA,NA
"2018-05-05 02:00",2298.42666666667,2327.04,2404.54,2466.01333333333,10450.0733333333,4974.62666666667,99820.3266666667,2869.09333333333,2675.52666666667,6084.79333333333,42702.4266666667,1471264,4109.74666666667,2369.15333333333,1.81333333333333,604.56,603.986666666667,1419.07333333333,22.9842666666667,23.2704,24.0454,24.6601333333333,NA,NA,998.203266666667,28.6909333333333,NA,NA,NA,NA,41.0974666666667,23.6915333333333,NA,NA,NA,NA
"2018-05-05 03:00",2226.54,2254.93333333333,2331.87333333333,2392.72666666667,12142.7466666667,5156.82,99824.88,2796.1,2500.52666666667,5492.10666666667,50650.9266666667,1471264,4363.28666666667,2296.88,1.73333333333333,603.513333333333,603.593333333333,1655.19333333333,22.2654,22.5493333333333,23.3187333333333,23.9272666666667,NA,NA,998.2488,27.961,NA,NA,NA,NA,43.6328666666667,22.9688,NA,NA,NA,NA
"2018-05-05 04:00",2177.14,2205.47333333333,2282.7,2343.56,10734.2866666667,4668.44,99808.36,2745.28666666667,2259.04,5379.84666666667,42423.52,1471264,4452.12666666667,2247.28,1.89333333333333,604.786666666667,604.04,1640.20666666667,21.7714,22.0547333333333,22.827,23.4356,NA,NA,998.0836,27.4528666666667,NA,NA,NA,NA,44.5212666666667,22.4728,NA,NA,NA,NA
