"","at0.temperature.raw","at1.temperature.raw","at2.temperature.raw","at3.temperature.raw","co.concentration.raw","h2s.concentration.raw","lps25h.pressure.raw","lps25h.temperature.raw","no2.concentration.raw","o3.concentration.raw","oxidizing_gases.concentration.raw","reducing_gases.concentration.raw","sht25.humidity.raw","sht25.temperature.raw","si1145.ir_intensity.raw","si1145.uv_intensity.raw","si1145.visible_light_intensity.raw","so2.concentration.raw","at0.temperature.hrf","at1.temperature.hrf","at2.temperature.hrf","at3.temperature.hrf","co.concentration.hrf","h2s.concentration.hrf","lps25h.pressure.hrf","lps25h.temperature.hrf","no2.concentration.hrf","o3.concentration.hrf","oxidizing_gases.concentration.hrf","reducing_gases.concentration.hrf","sht25.humidity.hrf","sht25.temperature.hrf","si1145.ir_intensity.hrf","si1145.uv_intensity.hrf","si1145.visible_light_intensity.hrf","so2.concentration.hrf"
"2018-07-19 00:00",2507.28225806452,2540.51612903226,2596.37096774194,2649.42741935484,5415.97580645161,110153.185483871,100077.846774194,2616.24193548387,5750.31451612903,-3374.72580645161,45553.5967741935,97.0241935483871,4865.88709677419,2572.18548387097,531,7778,27956,858.41129032258,25.0728225806452,25.4051612903226,25.9637096774194,26.4942741935484,NA,NA,1000.77846774194,26.1624193548387,NA,NA,NA,NA,48.6588709677419,25.7218548387097,NA,NA,NA,NA
"2018-07-19 01:00",2494.10666666667,2528.03333333333,2584.81333333333,2638.62666666667,5494.75333333333,106557.033333333,100046.866666667,2604.48666666667,5607.50666666667,-3315.50666666667,43996.48,101.3,4854.97333333333,2560.48,531,7778,27956,1407.34666666667,24.9410666666667,25.2803333333333,25.8481333333333,26.3862666666667,NA,NA,1000.46866666667,26.0448666666667,NA,NA,NA,NA,48.5497333333333,25.6048,NA,NA,NA,NA
"2018-07-19 02:00",2487.91333333333,2523,2581.26,2636.06666666667,5405.6,104614.3,100067.553333333,2600.58,5567.49333333333,-3111.56666666667,42628.8333333333,104.773333333333,5112.17333333333,2556.01333333333,531,7778,27956,2306.47333333333,24.8791333333333,25.23,25.8126,26.3606666666667,NA,NA,1000.67553333333,26.0058,NA,NA,NA,NA,51.1217333333333,25.5601333333333,NA,NA,NA,NA
"2018-07-19 03:00",2498.59333333333,2536.33333333333,2597.43333333333,2654.22,5609.58666666667,103543.16,100053.96,2615.16666666667,5561.58666666667,-3055.39333333333,42151.1933333333,113.206666666667,5259.38,2569.26,531,7778,27956,2877.20666666667,24.9859333333333,25.3633333333333,25.9743333333333,26.5422,NA,NA,1000.5396,26.1516666666667,NA,NA,NA,NA,52.5938,25.6926,NA,NA,NA,NA
"2018-07-19 04:00",2432.80666666667,2473.64666666667,2539.09333333333,2599.01333333333,4552.93333333333,96234.54,100055.906666667,2552.88666666667,5383.78,-2532.66666666667,38018.0866666667,3242.52,5761.57333333333,2507.28,531,7778,27956,1847.31333333333,24.3280666666667,24.7364666666667,25.3909333333333,25.9901333333333,NA,NA,1000.55906666667,25.5288666666667,NA,NA,NA,NA,57.6157333333333,25.0728,NA,NA,NA,NA
"2018-07-19 05:00",2397.14,2436,2499.22,2557.78,3816.8,89849.1133333333,100035.48,2509.01333333333,5022.20666666667,-2314.92,35325.8333333333,6016.75333333333,5853.54666666667,2469.50666666667,531,7778,27956,1099.50666666667,23.9714,24.36,24.9922,25.5778,NA,NA,1000.3548,25.0901333333333,NA,NA,NA,NA,58.5354666666667,24.6950666666667,NA,NA,NA,NA
"2018-07-19 06:00",2375.56,2413.5,2476.10666666667,2534.05333333333,3459.69333333333,87805.58,100019.013333333,2486.24,4904.82,-2023.70666666667,33866.14,5814.12666666667,6053.34666666667,2447.46666666667,531,7778,27956,902.346666666667,23.7556,24.135,24.7610666666667,25.3405333333333,NA,NA,1000.19013333333,24.8624,NA,NA,NA,NA,60.5334666666667,24.4746666666667,NA,NA,NA,NA
"2018-07-19 07:00",2348.9,2386.83333333333,2448.91333333333,2506.58,3217.22666666667,83588.8133333333,99991.1666666667,2458.64666666667,4734.40666666667,-1841.45333333333,32114.56,5905.73333333333,6426.38,2420.04666666667,531,7778,27956,325.806666666667,23.489,23.8683333333333,24.4891333333333,25.0658,NA,NA,999.911666666667,24.5864666666667,NA,NA,NA,NA,64.2638,24.2004666666667,NA,NA,NA,NA
"2018-07-19 08:00",2340.04666666667,2378.82,2442.64666666667,2502.28,3259.37333333333,80981.6533333333,99969.78,2452.34666666667,4473.36666666667,-1952.94,31333.4933333333,5950.37333333333,6083.65333333333,2413.20666666667,531,7778,27956,237.4,23.4004666666667,23.7882,24.4264666666667,25.0228,NA,NA,999.6978,24.5234666666667,NA,NA,NA,NA,60.8365333333333,24.1320666666667,NA,NA,NA,NA
"2018-07-19 09:00",2338.84666666667,2377.66666666667,2441.29333333333,2500.59333333333,3569.61333333333,80818.5933333333,99939.76,2450.70666666667,4569.51333333333,-2096.92,31426.2666666667,6141.10666666667,6021.04666666667,2411.84,531,7778,27956,257.36,23.3884666666667,23.7766666666667,24.4129333333333,25.0059333333333,NA,NA,999.3976,24.5070666666667,NA,NA,NA,NA,60.2104666666667,24.1184,NA,NA,NA,NA
