,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1
,,,,Sensitivities (nA/ppm),,,,,,,Izero(nA @ 10C),,,,,,,Izero(nA @ 20C),,,,,,,Izero(nA @ 40C),,,,,,,A (nA),,,,,,,1/m (T),,,,,,,SO2,,,,,,,H2S,,,,,,,O3,,,,,,,NO2,,,,,,,CO,,,,,,
Ship Date,Test Date,B.A.D.,Board B.C.,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO
60117,52617,5410EC379918,,21.64,16.73,10.59,222.92,57.02,15.50,7.73,1.946,12.455,1.282,3.554,0.369,0.550,4.321,3.833,28.573,2.266,7.541,0.372,0.372,10.423,36.834,195.579,8.859,36.783,0.963,1.329,54.082,0.795,4.516,0.469,1.444,0.268,0.356,1.783,11.15,10.68,13.28,12.29,55.10,47.22,11.73,-0.1306,0.8322,1.0000,0.1196,-0.0118,-0.0112,-0.0469,-1.7957,3.5360,4.8673,1.0000,-0.0017,-0.0150,-0.0849,-0.7061,-1.7380,-0.8003,-0.1112,1.0000,0.0404,-0.1939,1.0000,0.0241,-1.2519,-0.0615,0.9094,1.0000,0.0350,0.0371,1.0000,0.0052,0.0008,0.0000,0.0000,1.0000
60117,52617,5410EC379919,,40.31,16.58,10.02,233.33,52.03,14.99,7.70,3.222,23.898,1.208,4.802,0.205,0.228,3.889,4.446,58.500,3.063,9.862,0.186,0.179,9.811,24.851,284.921,11.322,45.558,3.518,0.792,47.976,1.791,9.936,0.500,1.925,0.047,0.104,1.671,17.07,11.57,12.68,12.55,10.90,22.68,11.92,-0.1505,0.8609,1.0000,0.1105,-0.0236,-0.0230,0.0383,-2.0850,3.8224,4.2125,1.0000,-0.0060,-0.0138,-0.0097,-0.4226,-1.1257,-0.4970,-0.0685,1.0000,0.0442,-0.2638,1.0000,0.3472,-0.9579,-0.1037,1.1051,1.0000,0.1038,-0.0028,1.0000,0.0106,0.0008,-0.0001,0.0001,1.0000
60117,52617,5410EC379946,,34.49,13.57,10.32,244.86,62.91,16.15,7.14,1.692,21.328,1.618,5.089,0.403,0.221,4.081,2.378,54.728,3.220,10.759,0.481,0.295,9.459,16.253,297.265,12.362,50.627,2.528,0.896,48.612,0.792,8.367,0.614,1.998,0.194,0.127,1.611,14.31,10.82,13.04,12.16,17.46,20.74,11.71,-0.1433,0.8467,1.0000,0.1130,-0.0114,-0.0034,-0.0183,-2.3095,3.2001,4.6368,1.0000,-0.0042,-0.0049,-0.0295,0.1738,-1.3402,-0.5303,-0.0839,1.0000,0.0081,-0.2930,1.0000,0.6116,-1.0607,-0.0691,0.9973,1.0000,0.0838,-0.0021,1.0000,0.0130,0.0009,-0.0001,0.0000,1.0000
60117,52617,5410EC379982,,40.30,15.10,10.86,247.53,45.76,18.69,7.67,3.476,21.364,1.402,5.064,0.322,0.098,4.182,5.485,52.891,2.891,11.113,0.437,0.099,10.292,26.554,288.338,13.597,49.045,0.363,0.768,55.743,2.278,8.354,0.477,2.150,0.317,0.029,1.769,17.87,11.00,11.69,12.58,-183.53,12.60,11.63,-0.2813,0.8442,1.0000,0.1120,-0.0084,0.0084,0.0233,-2.1718,3.6446,4.6877,1.0000,0.0030,0.0021,0.0561,-0.3092,-1.2067,-0.4588,-0.0933,1.0000,0.0180,-0.3718,1.0000,0.1256,-1.0274,-0.0632,1.1969,1.0000,-0.0815,-0.0027,1.0000,0.0111,0.0008,0.0000,0.0000,1.0000
60117,52617,5410EC3799B2,,37.89,15.70,13.00,279.35,65.12,22.27,7.66,2.272,23.504,1.590,5.340,0.308,0.399,3.919,4.319,56.496,3.448,12.087,0.308,0.402,9.448,23.484,316.928,12.005,51.063,1.058,0.886,46.274,1.518,9.349,0.603,2.344,0.247,0.415,1.581,16.09,11.28,12.99,12.68,42.60,76.79,11.82,-0.1977,0.8234,1.0000,0.1085,0.0078,-0.0049,0.0614,-2.2006,3.7810,4.1198,1.0000,-0.0110,-0.0086,0.0070,-0.0612,-1.4735,-0.5937,-0.1000,1.0000,0.0196,-0.1641,1.0000,0.3348,-0.9805,-0.0709,0.9640,1.0000,0.0641,-0.0024,1.0000,0.0076,0.0007,-0.0001,0.0002,1.0000
60117,52617,5410EC379A2F,,41.43,15.11,10.45,226.66,57.14,20.28,6.91,3.918,19.124,1.306,5.172,0.249,0.631,3.094,5.640,48.855,2.793,10.708,0.235,0.522,8.129,29.465,274.744,11.844,48.922,4.108,1.287,42.698,2.190,7.419,0.530,2.168,0.065,0.312,1.195,17.24,10.81,12.72,12.61,10.40,33.64,11.03,-0.2401,0.8887,1.0000,0.1125,-0.0091,0.0025,0.0273,-2.3223,3.9468,4.6419,1.0000,-0.0020,0.0089,0.0299,-0.2810,-1.5757,-0.6433,-0.0938,1.0000,0.0499,-0.2624,1.0000,0.3401,-1.1301,-0.0849,1.1006,1.0000,0.0243,-0.0038,1.0000,0.0101,0.0008,-0.0003,0.0000,1.0000
60117,52617,5410EC379A50,,42.22,12.76,9.62,237.44,42.14,21.67,8.20,3.005,20.063,1.548,6.434,0.208,0.505,3.400,4.327,49.370,3.429,13.598,1.602,0.604,8.492,23.906,266.682,12.372,54.556,2.709,1.200,51.726,1.767,7.602,0.549,2.879,0.128,0.411,1.291,17.14,10.85,12.50,13.39,12.61,62.17,10.91,-0.2062,0.7530,1.0000,0.1283,0.0052,-0.0203,-0.0247,-2.3464,3.3108,5.2820,1.0000,0.0060,-0.0030,-0.0351,-0.0283,-1.5713,-0.5227,-0.0807,1.0000,0.0184,-0.2470,1.0000,0.0451,-1.1474,-0.0803,1.2461,1.0000,0.0150,-0.0026,1.0000,0.0099,0.0010,-0.0006,-0.0003,1.0000
60117,52617,5410EC379A7F,,37.60,14.58,12.78,240.10,49.36,17.74,7.12,2.792,23.827,1.609,5.397,0.181,0.364,4.856,4.454,59.290,3.436,12.110,0.210,0.466,11.025,22.951,319.746,13.002,49.332,4.437,0.696,52.664,1.783,9.356,0.587,2.297,0.054,0.260,2.030,16.97,11.16,12.54,12.83,10.84,36.86,12.16,-0.2159,0.9258,1.0000,0.1271,-0.0035,0.0253,0.1431,-2.1507,3.8229,4.8150,1.0000,-0.0064,-0.0172,-0.0815,-0.5149,-1.3077,-0.5819,-0.0789,1.0000,0.0329,-0.3239,1.0000,0.1953,-1.2434,-0.0672,1.1900,1.0000,0.1330,-0.0029,1.0000,0.0079,0.0008,-0.0001,0.0001,1.0000
60117,52617,5410EC379A91,,37.95,16.59,12.94,255.42,59.61,18.03,7.29,2.780,27.478,1.443,4.676,0.174,0.361,2.889,3.865,70.257,2.917,10.570,0.342,0.816,7.575,23.584,389.426,12.752,46.305,4.009,2.381,40.881,1.523,10.864,0.490,2.039,0.042,0.196,1.033,15.98,10.97,11.95,12.52,8.81,14.46,10.70,-0.2501,0.9702,1.0000,0.1208,-0.0116,0.0046,-0.0355,-2.2442,3.8090,4.8127,1.0000,-0.0044,-0.0129,-0.0453,-0.1238,-0.9237,-0.6658,-0.0940,1.0000,0.0865,-0.1918,1.0000,0.4449,-1.2829,-0.0564,1.0284,1.0000,0.0126,-0.0023,1.0000,0.0096,0.0007,-0.0001,0.0000,1.0000
60117,52617,5410EC379B28,,39.64,16.55,13.62,268.33,70.99,18.38,7.22,1.508,21.969,1.630,5.044,0.179,0.518,3.473,2.460,56.764,2.824,10.994,0.318,0.632,8.410,15.529,355.687,12.450,53.289,3.079,1.380,43.876,0.898,8.429,0.444,2.048,0.143,0.399,1.397,14.98,10.62,11.76,12.10,18.71,33.81,11.54,-0.2216,0.8572,1.0000,0.1141,-0.0122,-0.0248,0.0607,-2.0067,3.5897,4.2796,1.0000,-0.0024,0.0107,-0.0295,0.3796,-1.2624,-0.5531,-0.0972,1.0000,0.0268,-0.3162,1.0000,0.2340,-1.2930,-0.0542,0.9347,1.0000,0.0848,-0.0010,1.0000,0.0086,0.0008,0.0000,0.0001,1.0000
